sink,financial_year,cap_kt,storage_$/t
carbonnet,2025,0.0,18.5
cooper_hub,2025,0.0,18.5
otway_hub,2025,0.0,18.5
carbonnet,2026,0.0,18.5
cooper_hub,2026,0.0,18.5
otway_hub,2026,0.0,18.5
carbonnet,2027,0.0,18.5
cooper_hub,2027,0.0,18.5
otway_hub,2027,0.0,18.5
carbonnet,2028,0.0,18.5
cooper_hub,2028,0.0,18.5
otway_hub,2028,0.0,18.5
carbonnet,2029,0.0,18.5
cooper_hub,2029,0.0,18.5
otway_hub,2029,0.0,18.5
carbonnet,2030,0.0,18.5
cooper_hub,2030,2500.0,18.5
otway_hub,2030,100.0,18.5
carbonnet,2031,0.0,18.5
cooper_hub,2031,3000.0,18.5
otway_hub,2031,100.0,18.5
carbonnet,2032,0.0,18.5
cooper_hub,2032,3500.0,18.5
otway_hub,2032,100.0,18.5
carbonnet,2033,0.0,18.5
cooper_hub,2033,4000.0,18.5
otway_hub,2033,100.0,18.5
carbonnet,2034,0.0,18.5
cooper_hub,2034,4500.0,18.5
otway_hub,2034,100.0,18.5
carbonnet,2035,0.0,18.5
cooper_hub,2035,5000.0,18.5
otway_hub,2035,100.0,18.5
carbonnet,2036,0.0,18.5
cooper_hub,2036,6000.0,18.5
otway_hub,2036,100.0,18.5
carbonnet,2037,0.0,18.5
cooper_hub,2037,7000.0,18.5
otway_hub,2037,100.0,18.5
carbonnet,2038,0.0,18.5
cooper_hub,2038,8000.0,18.5
otway_hub,2038,100.0,18.5
carbonnet,2039,0.0,18.5
cooper_hub,2039,9000.0,18.5
otway_hub,2039,100.0,18.5
carbonnet,2040,3000.0,18.5
cooper_hub,2040,10000.0,18.5
otway_hub,2040,100.0,18.5
carbonnet,2041,3000.0,18.5
cooper_hub,2041,10000.0,18.5
otway_hub,2041,100.0,18.5
carbonnet,2042,3000.0,18.5
cooper_hub,2042,10000.0,18.5
otway_hub,2042,100.0,18.5
carbonnet,2043,3000.0,18.5
cooper_hub,2043,10000.0,18.5
otway_hub,2043,100.0,18.5
carbonnet,2044,3000.0,18.5
cooper_hub,2044,10000.0,18.5
otway_hub,2044,100.0,18.5
carbonnet,2045,3000.0,18.5
cooper_hub,2045,10000.0,18.5
otway_hub,2045,100.0,18.5
carbonnet,2046,3000.0,18.5
cooper_hub,2046,10000.0,18.5
otway_hub,2046,100.0,18.5
carbonnet,2047,3000.0,18.5
cooper_hub,2047,10000.0,18.5
otway_hub,2047,100.0,18.5
carbonnet,2048,3000.0,18.5
cooper_hub,2048,10000.0,18.5
otway_hub,2048,100.0,18.5
carbonnet,2049,3000.0,18.5
cooper_hub,2049,10000.0,18.5
otway_hub,2049,100.0,18.5
carbonnet,2050,3000.0,18.5
cooper_hub,2050,10000.0,18.5
otway_hub,2050,100.0,18.5
carbonnet,2051,3000.0,18.5
cooper_hub,2051,10000.0,18.5
otway_hub,2051,100.0,18.5
carbonnet,2052,3000.0,18.5
cooper_hub,2052,10000.0,18.5
otway_hub,2052,100.0,18.5
carbonnet,2053,3000.0,18.5
cooper_hub,2053,10000.0,18.5
otway_hub,2053,100.0,18.5
carbonnet,2054,3000.0,18.5
cooper_hub,2054,10000.0,18.5
otway_hub,2054,100.0,18.5
carbonnet,2055,3000.0,18.5
cooper_hub,2055,10000.0,18.5
otway_hub,2055,100.0,18.5
