cell,year,test1_zero_use,use_mwh,test4_termination,model_status,pdlp_gap_rel,pdlp_pinf_rel,pdlp_dinf_rel
sweep_c0_d087,2030,True,0.0,True,Unknown,0.00211,0.00185,1.28e-07
sweep_c0_d087,2040,True,0.0,True,Unknown,0.00229,0.000243,8.31e-06
sweep_c0_d087,2050,True,0.0,True,Unknown,0.00299,0.00217,6.56e-07
sweep_c0_d100,2030,True,0.0,True,Unknown,0.00299,0.000124,2.18e-08
sweep_c0_d100,2040,True,0.0,True,Unknown,0.00295,0.000596,3.28e-06
sweep_c0_d100,2050,True,0.0,True,Unknown,0.00295,0.00116,9.24e-07
sweep_c0_d110,2030,True,0.0,True,Unknown,0.00298,6.49e-05,7.9e-08
sweep_c0_d110,2040,True,0.0,True,Unknown,0.00274,0.00016,3.65e-06
sweep_c0_d110,2050,True,0.0,True,Unknown,0.003,0.00115,1.96e-06
sweep_c0_d123,2030,True,0.0,True,Unknown,0.00298,0.000167,9.39e-08
sweep_c0_d123,2040,True,0.0,True,Unknown,0.003,0.00074,2.22e-06
sweep_c0_d123,2050,True,0.0,True,Unknown,0.00297,0.00158,2.59e-06
sweep_c150_d087,2030,True,0.0,True,Unknown,0.00297,0.000655,3.88e-07
sweep_c150_d087,2040,True,0.0,True,Unknown,0.00268,0.00133,5.9e-07
sweep_c150_d087,2050,True,0.0,True,Unknown,0.00286,7.65e-05,7.63e-06
sweep_c150_d100,2030,True,0.0,True,Unknown,0.003,0.000159,1.84e-07
sweep_c150_d100,2040,True,0.0,True,Unknown,0.00224,0.00113,1.29e-06
sweep_c150_d100,2050,True,0.0,True,Unknown,0.00294,0.000565,1.21e-05
sweep_c150_d110,2030,True,0.0,True,Unknown,0.00283,0.00053,6.1e-07
sweep_c150_d110,2040,True,0.0,True,Unknown,0.00289,0.000478,2.12e-06
sweep_c150_d110,2050,True,0.0,True,Unknown,0.00298,0.000685,7.69e-06
sweep_c150_d123,2030,True,0.0,True,Unknown,0.00292,0.000538,3.33e-07
sweep_c150_d123,2040,True,0.0,True,Unknown,0.00299,0.000295,1.53e-06
sweep_c150_d123,2050,True,0.0,True,Unknown,0.00295,0.000814,3.29e-06
sweep_c300_d087,2030,True,0.0,True,Unknown,0.00275,0.00124,9.34e-07
sweep_c300_d087,2040,True,0.0,True,Unknown,0.0029,0.000708,2.02e-06
sweep_c300_d087,2050,True,0.0,True,Unknown,0.003,8.73e-05,2.69e-06
sweep_c300_d100,2030,True,0.0,True,Unknown,0.00286,0.00147,5.26e-07
sweep_c300_d100,2040,True,0.0,True,Unknown,0.00264,0.000735,3.03e-06
sweep_c300_d100,2050,True,0.0,True,Unknown,0.003,6.44e-05,4.41e-06
sweep_c300_d110,2030,True,0.0,True,Unknown,0.00279,0.000975,1.06e-06
sweep_c300_d110,2040,True,0.0,True,Unknown,0.00294,0.00108,2.76e-06
sweep_c300_d110,2050,True,0.0,True,Unknown,0.003,4.18e-05,3.52e-06
sweep_c300_d123,2030,True,0.0,True,Unknown,0.00297,0.00183,3.58e-06
sweep_c300_d123,2040,True,0.0,True,Unknown,0.00279,0.0014,4.72e-06
sweep_c300_d123,2050,True,0.0,True,Unknown,0.00299,0.000149,1.74e-06
sweep_c550_d087,2030,True,0.0,True,Unknown,0.00295,0.00051,2.01e-06
sweep_c550_d087,2040,True,0.0,True,Unknown,0.0029,0.000505,4.28e-06
sweep_c550_d087,2050,True,0.0,True,Unknown,0.00283,4.64e-05,2.83e-06
sweep_c550_d100,2030,True,0.0,True,Unknown,0.00293,0.000781,1.01e-06
sweep_c550_d100,2040,True,0.0,True,Unknown,0.00281,0.000443,1.92e-06
sweep_c550_d100,2050,True,0.0,True,Unknown,0.00299,4.55e-05,7.24e-06
sweep_c550_d110,2030,True,0.0,True,Unknown,0.00284,0.000708,4.14e-06
sweep_c550_d110,2040,True,0.0,True,Unknown,0.00297,0.000567,1.29e-06
sweep_c550_d110,2050,True,0.0,True,Unknown,0.003,4.04e-05,5.78e-06
sweep_c550_d123,2030,True,0.0,True,Unknown,0.00299,0.000442,8.24e-06
sweep_c550_d123,2040,True,0.0,True,Unknown,0.0029,0.000964,2.15e-06
sweep_c550_d123,2050,True,0.0,True,Unknown,0.00299,0.000562,1.02e-05
