year,carbon_price,test3_cost_monotone_in_demand,demand_level,test2_gas_share_monotone_in_carbon
2030,0.0,True,,
2030,150.0,True,,
2030,300.0,True,,
2030,550.0,True,,
2030,,,d087,False
2030,,,d100,False
2030,,,d110,False
2030,,,d123,False
2040,0.0,True,,
2040,150.0,True,,
2040,300.0,True,,
2040,550.0,True,,
2040,,,d087,True
2040,,,d100,True
2040,,,d110,True
2040,,,d123,True
2050,0.0,True,,
2050,150.0,True,,
2050,300.0,True,,
2050,550.0,True,,
2050,,,d087,True
2050,,,d100,True
2050,,,d110,True
2050,,,d123,True
