cell,run_id,carbon_price,demand_level,demand_scalar,year,trace_directory,realised_demand_ratio,rep_weeks,named_weeks,resolution_min,solver_options,model_status,pdlp_gap_rel,pdlp_pinf_rel,pdlp_dinf_rel,pdlp_iterations,objective_value,lp_rows,solve_s,wall_clock_s,network_path,record_path
sweep_c0_d087,sweep_c0_d087_2030,0,d087,0.869546,2030,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00211,0.00185,1.28e-07,21040,889105582.21,12030865,7921.439174099825,8504.980689899996,analysis\benchmarks\runs_myopic\sweep_c0_d087_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d087_2030.json
sweep_c0_d087,sweep_c0_d087_2040,0,d087,0.869546,2040,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00229,0.000243,8.31e-06,31640,9299481403.8,12598723,12178.096865799977,12769.142904500011,analysis\benchmarks\runs_myopic\sweep_c0_d087_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d087_2040.json
sweep_c0_d087,sweep_c0_d087_2050,0,d087,0.869546,2050,traces_d087,0.869546,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00299,0.00217,6.56e-07,33120,8014360467.0,12415231,12572.534486099845,13154.175772000104,analysis\benchmarks\runs_myopic\sweep_c0_d087_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d087_2050.json
sweep_c0_d100,sweep_c0_d100_2030,0,d100,1.0,2030,traces_d100,1.0,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00299,0.000124,2.18e-08,25640,2262684183.4,12030865,9265.679853199981,9841.119621699909,analysis\benchmarks\runs_myopic\sweep_c0_d100_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d100_2030.json
sweep_c0_d100,sweep_c0_d100_2040,0,d100,1.0,2040,traces_d100,1.0,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00295,0.000596,3.28e-06,19080,12916653554.0,12598723,7307.30537889991,7888.496453200001,analysis\benchmarks\runs_myopic\sweep_c0_d100_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d100_2040.json
sweep_c0_d100,sweep_c0_d100_2050,0,d100,1.0,2050,traces_d100,1.0,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00295,0.00116,9.24e-07,26640,9671311244.6,12646735,10382.769183999859,11002.55463499995,analysis\benchmarks\runs_myopic\sweep_c0_d100_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d100_2050.json
sweep_c0_d110,sweep_c0_d110_2030,0,d110,1.1,2030,traces_d110,1.1,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00298,6.49e-05,7.9e-08,26200,3445004778.7,12030865,9725.97649050015,10344.365180100081,analysis\benchmarks\runs_myopic\sweep_c0_d110_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d110_2030.json
sweep_c0_d110,sweep_c0_d110_2040,0,d110,1.1,2040,traces_d110,1.1,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00274,0.00016,3.65e-06,30760,15614838294.0,12629299,11422.9625866001,11997.237157299882,analysis\benchmarks\runs_myopic\sweep_c0_d110_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d110_2040.json
sweep_c0_d110,sweep_c0_d110_2050,0,d110,1.1,2050,traces_d110,1.1,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.003,0.00115,1.96e-06,34160,12031000809.0,12646735,12384.847695700126,12961.094984400086,analysis\benchmarks\runs_myopic\sweep_c0_d110_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d110_2050.json
sweep_c0_d123,sweep_c0_d123_2030,0,d123,1.234752,2030,traces_d123,1.234752,1 6 10 14 19 22 26 32 35 39 41 45 50,suppressed,30,"{""solver"": ""pdlp"", ""pdlp_optimality_tolerance"": 0.003, ""primal_feasibility_tolerance"": 0.003, ""dual_feasibility_tolerance"": 0.003}",Unknown,0.00298,0.000167,9.39e-08,34880,5432727780.9,12030865,12487.359482999891,13071.504879399901,analysis\benchmarks\runs_myopic\sweep_c0_d123_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\sweep_c0_d123_2030.json
