carbon_price,year,from_level,to_level,from_delivered_twh,to_delivered_twh,delta_delivered_twh,from_total_cost_aud_per_yr,to_total_cost_aud_per_yr,marginal_cost_aud_per_mwh,from_co2e_kt_per_yr,to_co2e_kt_per_yr,marginal_co2e_t_per_mwh,marginal_thermal_twh,marginal_renewable_twh,marginal_thermal_per_delivered_pct,marginal_renewable_per_delivered_pct,marginal_thermal_pct_of_generation,marginal_renewable_pct_of_generation
0,2030,d087,d100,164.2927979538681,188.9408932406889,24.64809528682079,7478794477.861847,9205780487.717216,70.06569837381228,52442.021751683824,74706.77790674347,0.9033053425010289,23.12801623138468,1.5592708199847873,93.83287415215045,6.326131093863959,93.68391181768881,6.316088182311189
0,2030,d100,d110,188.9408932406889,207.83498256475784,18.894089324068943,9205780487.717216,10568504061.22456,72.12433211964266,74706.77790674347,89903.39449692218,0.8043053216023448,17.140175364157002,1.7170536781286296,90.71712888708718,9.087782155985135,90.8944539291627,9.1055460708373
0,2030,d110,d123,207.83498256475784,233.29514581072715,25.460163245969312,10568504061.22456,12707822381.316025,84.02610381652396,89903.39449692218,105858.505167595,0.6266696138799789,20.028039878765995,5.838736500504902,78.66422412643684,22.932832142893872,77.4276608151917,22.572339184808303
0,2040,d087,d100,206.68520068832512,237.69323381204117,31.008033123716046,14527462590.45167,18118672427.93345,115.815467016355,42643.67693017845,43192.8151634766,0.01770954742944181,5.592774972830734,26.330814377926515,18.036535727747207,84.91610632919433,17.519254841241935,82.48074515875807
0,2040,d100,d110,237.69323381204117,261.4625571932453,23.769323381204117,18118672427.93345,20593554350.38978,104.12084024290621,43192.8151634766,50478.35045206269,0.3065099991170641,14.943665447594693,9.504975164470496,62.86954495057936,39.988412846394574,61.12268442532598,38.87731557467401
0,2040,d110,d123,261.4625571932453,293.4921958358854,32.02963864264012,20593554350.38978,24600337826.417496,125.09611865222868,50478.35045206269,53573.67001291812,0.09663922829072202,8.924057320356221,23.798145218850376,27.861873247848273,74.30038622780027,27.272177994937007,72.72782200506298
0,2050,d087,d100,219.0719307281744,251.9382881735692,32.86635744539478,17501619589.454628,21686000776.132286,127.31502703424688,19405.71953721934,24035.928299241237,0.14087988818702152,12.29755113163911,21.240071363150435,37.41683620422694,64.62557159989319,36.66792758952927,63.33207241047073
0,2050,d100,d110,251.9382881735692,277.13211699092614,25.193828817356945,21686000776.132286,24704187823.988434,119.79866457522364,24035.928299241237,27562.387591391147,0.13997313856956922,9.931924253147622,16.252989406611967,39.42205182526746,64.51178788439927,37.9299484512366,62.0700515487634
0,2050,d110,d123,277.13211699092614,311.08130519889096,33.94918820796482,24704187823.988434,29005918489.266457,126.71085502624163,27562.387591391147,34181.27325431559,0.19496447521450846,17.655542011758023,17.154274612179208,52.005785539272054,50.52926304775276,50.720008675992446,49.27999132400756
150,2030,d087,d100,164.2927979538681,188.9408932406889,24.64809528682079,12276198547.073875,15441974255.795563,128.43895935498153,11163.064999036767,15340.45749953021,0.1694813514749382,6.407840928586174,18.484032954284665,25.99730670471894,74.99172954012387,25.742702051032335,74.25729794896766
150,2030,d100,d110,188.9408932406889,207.83498256475784,18.894089324068943,15441974255.795563,18020555834.968357,136.47556836136957,15340.45749953021,19763.541983770083,0.23409884479615328,5.321200653787295,13.63804561691447,28.163308442755607,72.18154515412995,28.06652003888092,71.93347996111908
150,2030,d110,d123,207.83498256475784,233.29514581072715,25.460163245969312,18020555834.968357,21750148255.17483,146.48737261324982,19763.541983770083,29081.859887208808,0.36599599984552106,9.897317451627156,15.830358110472961,38.87373916659405,62.17697018489903,38.46953615276098,61.53046384723903
150,2040,d087,d100,206.68520068832512,237.69323381204117,31.008033123716046,18853166211.300243,23506091809.32916,150.05548979726137,12099.174265872092,16433.999570005915,0.13979684834696576,10.126541752028363,21.19827757652901,32.65780100151926,68.36382524474219,32.32753442506361,67.6724655749364
150,2040,d100,d110,237.69323381204117,261.4625571932453,23.769323381204117,23506091809.32916,27196333928.967457,155.25229980069193,16433.999570005915,21180.519039860395,0.1996909795761308,8.822898742803558,15.655824902721267,37.11884684854081,65.86567337924858,36.043132275062675,63.956867724937325
150,2040,d110,d123,261.4625571932453,293.4921958358854,32.02963864264012,27196333928.967457,32192472059.0858,155.98484222257602,21180.519039860395,28221.374270700813,0.219823124119394,16.299504090171684,16.28664103543104,50.88881667391848,50.84865682421128,50.01973699971424,49.98026300028575
150,2050,d087,d100,219.0719307281744,251.9382881735692,32.86635744539478,20591417529.907505,25677214891.494278,154.74174070054704,8594.762374118842,11699.927589131945,0.09447853234640084,8.019159130891918,25.413602521806204,24.399293849996017,77.32406173707925,23.985930968537712,76.0140690314623
150,2050,d100,d110,251.9382881735692,277.13211699092614,25.193828817356945,25677214891.494278,29806447006.069595,163.8985540669602,11699.927589131945,14288.020072579951,0.10272723936525979,5.6874440871322465,20.587013753403326,22.574750858090926,81.71450994070494,21.646285231270504,78.3537147687295
150,2050,d110,d123,277.13211699092614,311.08130519889096,33.94918820796482,29806447006.069595,35347903385.57939,163.22794953340636,14288.020072579951,20066.486172950114,0.17020925699232112,12.877421060792772,21.617273343309783,37.931455037772004,63.67537630321939,37.33159920170571,62.6684007982943
300,2030,d087,d100,164.2927979538681,188.9408932406889,24.64809528682079,13264591616.305569,16864940375.795359,146.07006008350177,5712.63253695427,7620.909906679452,0.07742088577308967,3.3631034414235885,22.23985911430899,13.644475981970999,90.22952425131417,13.135602702627782,86.86439729737221
300,2030,d100,d110,188.9408932406889,207.83498256475784,18.894089324068943,16864940375.795359,19747926882.298286,152.58668767011318,7620.909906679452,9289.917043327414,0.08833488124361909,3.936430799142266,15.34148650568209,20.834191749732526,81.19727943774862,20.419377969616885,79.58062203038311
300,2030,d110,d123,207.83498256475784,233.29514581072715,25.460163245969312,19747926882.298286,23912097342.209717,163.55631421847522,9289.917043327414,12214.969664212069,0.11488742600060628,7.124356721935371,18.66207941704876,27.98236858541452,73.29913495351691,27.628310804705247,72.37168919529475
300,2040,d087,d100,206.68520068832512,237.69323381204117,31.008033123716046,20134945979.205563,25482295674.984688,172.4504638667095,6234.051486204271,9551.30113116608,0.10698033092671905,8.208016388497933,23.471519931984762,26.470612811040084,75.6949653605501,25.90952186124948,74.09047813875051
