cell,year,carrier,duration_class,power_gw,energy_gwh,units
sweep_c0_d087,2030,Battery,1_under_2h,5.163320000000001,7.724199999999999,31.0
sweep_c0_d087,2030,Battery,2_2to4h,6.9935,17.8953,37.0
sweep_c0_d087,2030,Battery,3_4to8h,1.7258000000000002,8.096,8.0
sweep_c0_d087,2030,Battery,4_8h,0.65,5.2,4.0
sweep_c0_d087,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c0_d087,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c0_d087,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c0_d087,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c0_d087,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c0_d087,2040,Battery,1_under_2h,4.993777674000175,7.4635576740001754,28.0
sweep_c0_d087,2040,Battery,2_2to4h,6.879881732612721,17.66806346522544,35.0
sweep_c0_d087,2040,Battery,3_4to8h,1.7395023423659062,8.150809369463623,15.0
sweep_c0_d087,2040,Battery,4_8h,3.7402207376427605,29.921765901142084,19.0
sweep_c0_d087,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c0_d087,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c0_d087,2040,Water,5_over8to24h,3.378,62.802,3.0
sweep_c0_d087,2040,Water,6_over24h,2.2,349.8,1.0
sweep_c0_d087,2050,Battery,1_under_2h,2.655637464357076,4.419037464357076,16.0
sweep_c0_d087,2050,Battery,2_2to4h,3.1746121238458174,8.224424247691633,23.0
sweep_c0_d087,2050,Battery,3_4to8h,1.9244574812443558,8.873829924977423,17.0
sweep_c0_d087,2050,Battery,4_8h,9.972635637177454,79.78108509741963,29.0
sweep_c0_d087,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c0_d087,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c0_d087,2050,Water,5_over8to24h,3.378,62.802,3.0
sweep_c0_d087,2050,Water,6_over24h,2.2,349.8,1.0
sweep_c0_d100,2030,Battery,1_under_2h,5.163320000000001,7.724199999999999,31.0
sweep_c0_d100,2030,Battery,2_2to4h,6.9935,17.8953,37.0
sweep_c0_d100,2030,Battery,3_4to8h,1.7258000000000002,8.096,8.0
sweep_c0_d100,2030,Battery,4_8h,0.65,5.2,4.0
sweep_c0_d100,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c0_d100,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c0_d100,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c0_d100,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c0_d100,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c0_d100,2040,Battery,1_under_2h,5.002145325583928,7.471925325583928,28.0
sweep_c0_d100,2040,Battery,2_2to4h,6.890638814415345,17.68957762883069,36.0
sweep_c0_d100,2040,Battery,3_4to8h,1.7674007041742432,8.262402816696971,17.0
