year,axis,at,test2_cost_monotone
2030,demand,i005,True
2030,demand,i010,True
2030,demand,i025,True
2030,demand,i050,True
2030,demand,i100,True
2030,demand,i150,True
2040,demand,i005,True
2040,demand,i010,True
2040,demand,i025,True
2040,demand,i050,True
2040,demand,i100,True
2040,demand,i150,True
2050,demand,i005,True
2050,demand,i010,True
2050,demand,i025,True
2050,demand,i050,True
2050,demand,i100,True
2050,demand,i150,True
2030,intensity,d100,True
2030,intensity,d105,True
2030,intensity,d110,True
2030,intensity,d120,True
2030,intensity,d135,True
2030,intensity,d150,True
2040,intensity,d100,True
2040,intensity,d105,True
2040,intensity,d110,True
2040,intensity,d120,True
2040,intensity,d135,True
2040,intensity,d150,True
2050,intensity,d100,True
2050,intensity,d105,True
2050,intensity,d110,True
2050,intensity,d120,True
2050,intensity,d135,True
2050,intensity,d150,True
