run_id,demand_level,cap_key,year,trace_directory,cap_t,share_min,solver_options,model_status,objective_value,pdlp_gap_rel,lp_rows,solve_s,wall_clock_s,network_path,record_path
idm_d100_i005_2030,d100,i005,2030,traces_d100,3735338.8953371774,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,9772904560.0,,12030866,10904.434881499968,11572.670221399982,analysis\benchmarks\runs_myopic\idm_d100_i005_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i005_2030.json
idm_d100_i005_2040,d100,i005,2040,traces_d100,2159640.7581738317,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,20235599700.0,,12598724,9734.583599800244,10305.618892299943,analysis\benchmarks\runs_myopic\idm_d100_i005_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i005_2040.json
idm_d100_i005_2050,d100,i005,2050,traces_d100,1201796.4149620624,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,16758637500.0,,12646736,6352.673226699699,6961.886225599796,analysis\benchmarks\runs_myopic\idm_d100_i005_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i005_2050.json
idm_d100_i010_2030,d100,i010,2030,traces_d100,7470677.790674355,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,8076097920.0,,12030866,13222.162793899886,13881.307461800054,analysis\benchmarks\runs_myopic\idm_d100_i010_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i010_2030.json
idm_d100_i010_2040,d100,i010,2040,traces_d100,4319281.5163476635,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,18849632200.0,,12598724,14389.690739899874,14963.596813600045,analysis\benchmarks\runs_myopic\idm_d100_i010_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i010_2040.json
idm_d100_i010_2050,d100,i010,2050,traces_d100,2403592.8299241248,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,14946956300.0,,12646736,6334.768882200122,6940.428921500221,analysis\benchmarks\runs_myopic\idm_d100_i010_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i010_2050.json
idm_d100_i025_2030,d100,i025,2030,traces_d100,18676694.476685885,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,5915105990.0,,12030866,14146.326859800145,14753.39019750012,analysis\benchmarks\runs_myopic\idm_d100_i025_2030__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i025_2030.json
idm_d100_i025_2040,d100,i025,2040,traces_d100,10798203.79,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,16196559700.0,,12598724,11035.83689380018,11604.386216500308,analysis\benchmarks\runs_myopic\idm_d100_i025_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i025_2040.json
idm_d100_i025_2050,d100,i025,2050,traces_d100,6008982.074810312,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,12568464000.0,,12646736,5854.908952299971,6454.63456019992,analysis\benchmarks\runs_myopic\idm_d100_i025_2050__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i025_2050.json
idm_d100_i045_2040,d100,i045,2040,traces_d100,19436766.82,,"{""BarConvTol"": 1e-08, ""Method"": 2}",Optimal,14569699500.0,,12598724,10038.950727000367,10617.726980800275,analysis\benchmarks\runs_myopic\idm_d100_i045_2040__cost_optimal\outputs\capacity_expansion.nc,analysis\benchmarks\records\idm_d100_i045_2040.json
