year,demand_level,tight_cell,loose_cell,delta_co2e_t,chordal_aud_per_t,chordal_objective_aud_per_t,dual_tight_aud_per_t,dual_loose_aud_per_t,dual_vs_chordal_ratio,within_bracket
2030,d100,i005,i010,3735338.8953388026,437.0789253986837,454.25774944206137,596.9092344761771,320.4994688864661,1.365678370174685,True
2030,d100,i010,i025,11206016.68600398,172.00511253002963,192.84211246080173,320.4994688864661,135.15773742798348,1.8633136199978444,True
2030,d100,i025,i050,18676694.47668124,99.44424643291586,98.81469562530116,135.15773742798348,72.86503754399331,1.3591307921384832,True
2030,d100,i050,i100,36500065.930090286,45.497334448055,49.28720713671188,72.86503754399331,0.0,1.6015232195016706,True
2030,d105,i005,i025,15688423.36041002,249.1690155111951,271.31091966457217,587.702155099449,136.97935503009555,2.35864862207574,True
2030,d105,i025,i100,58831587.601555385,67.85489935623482,70.39864074466185,136.97935503009555,16.75555046199006,2.0187098695845203,True
2030,d110,i005,i010,4108872.784871477,473.5401237306732,480.98142811248346,586.5510702852903,365.6392967094192,1.238651258660591,True
2030,d110,i010,i025,12326618.354605954,189.61962024533437,220.35103966572254,365.6392967094192,142.77289738615727,1.9282777606892494,True
2030,d110,i025,i050,20544363.924350943,109.48452727370271,112.18598387795134,142.77289738615727,82.2256336769569,1.3040463428155127,True
2030,d110,i050,i100,41088727.848708995,51.707942666718054,55.31816678211944,82.2256336769569,22.736700078899446,1.5901934874288015,True
2030,d110,i100,i150,7548886.66388087,3.5064518141188863,14.083455578778546,22.736700078899446,0.0,6.484247120507717,True
2030,d120,i005,i025,17929626.697611213,281.33511140492124,306.87965191896996,601.02785910738,171.87008858578577,2.136341447414752,True
2030,d120,i025,i100,67236100.11607134,76.45670334332917,81.80544440419257,171.87008858578577,27.158278671424227,2.247940089883321,True
2030,d135,i005,i025,20170830.034813643,304.7226688205068,331.24762781046013,613.3650778456964,187.82196557025057,2.0128633036060464,True
2030,d135,i025,i100,75640612.63057995,79.4821937813798,89.4677284417456,187.82196557025057,27.85238697199611,2.363069722092288,True
2030,d150,i005,i010,5603008.34300669,488.2415746184956,520.9295830592546,639.6581062176879,449.409131647482,1.310126256080316,True
2030,d150,i010,i025,16790241.5012078,261.5904152029081,292.3397411911504,449.409131647482,221.87303748731105,1.7179877607476113,True
2030,d150,i025,i050,28033825.242823415,140.4797934631562,158.21385795844736,221.87303748731105,113.43808950386097,1.5793946731954867,True
2030,d150,i050,i100,56030083.43006874,59.149578674499445,64.01065428496722,113.43808950386097,14.07288551593723,1.9178173715845312,True
2030,d150,i100,i150,5919075.373565137,15.745285780984618,6.324501317754344,14.07288551593723,0.0,0.8937840641122484,False
