group,tranche,financial_year,cap_mw,adder_$/mw/yr
Wind,step_change_rate,2026,3000.0,0
Wind,accelerated_rate,2026,6000.0,50992
Wind,above_accelerated_rate,2026,,131121
Wind,step_change_rate,2030,15000.0,0
Wind,accelerated_rate,2030,30000.0,43095
Wind,above_accelerated_rate,2030,,110815
Wind,step_change_rate,2035,14000.0,0
Wind,accelerated_rate,2035,28000.0,36109
Wind,above_accelerated_rate,2035,,92851
Wind,step_change_rate,2040,14000.0,0
Wind,accelerated_rate,2040,28000.0,34774
Wind,above_accelerated_rate,2040,,89419
Wind,step_change_rate,2045,9800.0,0
Wind,accelerated_rate,2045,19600.0,33738
Wind,above_accelerated_rate,2045,,86755
Wind,step_change_rate,2050,9800.0,0
Wind,accelerated_rate,2050,19600.0,33455
Wind,above_accelerated_rate,2050,,86028
Wind,step_change_rate,2055,9800.0,0
Wind,accelerated_rate,2055,19600.0,33393
Wind,above_accelerated_rate,2055,,85867
Wind,step_change_rate,2060,9800.0,0
Wind,accelerated_rate,2060,19600.0,33393
Wind,above_accelerated_rate,2060,,85867
Solar,step_change_rate,2026,4000.0,0
Solar,accelerated_rate,2026,8000.0,22860
Solar,above_accelerated_rate,2026,,58784
Solar,step_change_rate,2030,23000.0,0
Solar,accelerated_rate,2030,46000.0,13947
Solar,above_accelerated_rate,2030,,35865
Solar,step_change_rate,2035,11600.0,0
Solar,accelerated_rate,2035,23200.0,11113
Solar,above_accelerated_rate,2035,,28576
Solar,step_change_rate,2040,12000.0,0
Solar,accelerated_rate,2040,47000.0,10351
Solar,above_accelerated_rate,2040,,26618
Solar,step_change_rate,2045,11600.0,0
Solar,accelerated_rate,2045,23200.0,9844
Solar,above_accelerated_rate,2045,,25312
Solar,step_change_rate,2050,11600.0,0
Solar,accelerated_rate,2050,23200.0,9421
Solar,above_accelerated_rate,2050,,24224
Solar,step_change_rate,2055,11600.0,0
Solar,accelerated_rate,2055,23200.0,9251
Solar,above_accelerated_rate,2055,,23789
Solar,step_change_rate,2060,11600.0,0
Solar,accelerated_rate,2060,23200.0,9251
Solar,above_accelerated_rate,2060,,23789
Gas,step_change_rate,2026,1000.0,0
Gas,accelerated_rate,2026,2000.0,31428
Gas,above_accelerated_rate,2026,,80814
Gas,step_change_rate,2030,1000.0,0
Gas,accelerated_rate,2030,2000.0,26011
Gas,above_accelerated_rate,2030,,66887
Gas,step_change_rate,2035,1000.0,0
Gas,accelerated_rate,2035,2000.0,20007
Gas,above_accelerated_rate,2035,,51448
Gas,step_change_rate,2040,1000.0,0
Gas,accelerated_rate,2040,2000.0,19188
Gas,above_accelerated_rate,2040,,49340
Gas,step_change_rate,2045,1000.0,0
Gas,accelerated_rate,2045,2000.0,19420
Gas,above_accelerated_rate,2045,,49936
Gas,step_change_rate,2050,1000.0,0
Gas,accelerated_rate,2050,2000.0,19633
Gas,above_accelerated_rate,2050,,50486
Gas,step_change_rate,2055,1000.0,0
Gas,accelerated_rate,2055,2000.0,19776
Gas,above_accelerated_rate,2055,,50852
Gas,step_change_rate,2060,1000.0,0
Gas,accelerated_rate,2060,2000.0,19776
Gas,above_accelerated_rate,2060,,50852
Battery,step_change_rate,2026,1200.0,0
Battery,accelerated_rate,2026,2400.0,27449
Battery,above_accelerated_rate,2026,,70584
Battery,step_change_rate,2030,4800.0,0
Battery,accelerated_rate,2030,9600.0,21532
Battery,above_accelerated_rate,2030,,55367
Battery,step_change_rate,2035,6000.0,0
Battery,accelerated_rate,2035,12000.0,19036
Battery,above_accelerated_rate,2035,,48950
Battery,step_change_rate,2040,6000.0,0
Battery,accelerated_rate,2040,12000.0,16826
Battery,above_accelerated_rate,2040,,43267
Battery,step_change_rate,2045,6000.0,0
Battery,accelerated_rate,2045,12000.0,16184
Battery,above_accelerated_rate,2045,,41617
Battery,step_change_rate,2050,6000.0,0
Battery,accelerated_rate,2050,12000.0,15757
Battery,above_accelerated_rate,2050,,40517
Battery,step_change_rate,2055,6000.0,0
Battery,accelerated_rate,2055,12000.0,15471
Battery,above_accelerated_rate,2055,,39783
Battery,step_change_rate,2060,6000.0,0
Battery,accelerated_rate,2060,12000.0,15471
Battery,above_accelerated_rate,2060,,39783
Water,step_change_rate,2026,600.0,0
Water,accelerated_rate,2026,1200.0,67497
Water,above_accelerated_rate,2026,,173565
Water,step_change_rate,2030,2400.0,0
Water,accelerated_rate,2030,4800.0,62362
Water,above_accelerated_rate,2030,,160360
Water,step_change_rate,2035,3000.0,0
Water,accelerated_rate,2035,6000.0,62440
Water,above_accelerated_rate,2035,,160559
Water,step_change_rate,2040,3000.0,0
Water,accelerated_rate,2040,6000.0,64187
Water,above_accelerated_rate,2040,,165053
Water,step_change_rate,2045,3000.0,0
Water,accelerated_rate,2045,6000.0,65657
Water,above_accelerated_rate,2045,,168832
Water,step_change_rate,2050,3000.0,0
Water,accelerated_rate,2050,6000.0,67095
Water,above_accelerated_rate,2050,,172531
Water,step_change_rate,2055,3000.0,0
Water,accelerated_rate,2055,6000.0,68147
Water,above_accelerated_rate,2055,,175235
Water,step_change_rate,2060,3000.0,0
Water,accelerated_rate,2060,6000.0,68147
Water,above_accelerated_rate,2060,,175235
