sink,financial_year,cap_kt,storage_$/t
carbonnet,2025,0.0,18.5
cooper_hub,2025,0.0,18.5
otway_hub,2025,0.0,18.5
carbonnet,2026,0.0,18.5
cooper_hub,2026,0.0,18.5
otway_hub,2026,0.0,18.5
carbonnet,2027,0.0,18.5
cooper_hub,2027,0.0,18.5
otway_hub,2027,0.0,18.5
carbonnet,2028,0.0,18.5
cooper_hub,2028,0.0,18.5
otway_hub,2028,0.0,18.5
carbonnet,2029,0.0,18.5
cooper_hub,2029,0.0,18.5
otway_hub,2029,0.0,18.5
carbonnet,2030,0.0,18.5
cooper_hub,2030,0.0,18.5
otway_hub,2030,0.0,18.5
carbonnet,2031,0.0,18.5
cooper_hub,2031,0.0,18.5
otway_hub,2031,0.0,18.5
carbonnet,2032,0.0,18.5
cooper_hub,2032,0.0,18.5
otway_hub,2032,0.0,18.5
carbonnet,2033,0.0,18.5
cooper_hub,2033,0.0,18.5
otway_hub,2033,0.0,18.5
carbonnet,2034,0.0,18.5
cooper_hub,2034,0.0,18.5
otway_hub,2034,0.0,18.5
carbonnet,2035,0.0,18.5
cooper_hub,2035,0.0,18.5
otway_hub,2035,0.0,18.5
carbonnet,2036,0.0,18.5
cooper_hub,2036,0.0,18.5
otway_hub,2036,0.0,18.5
carbonnet,2037,0.0,18.5
cooper_hub,2037,0.0,18.5
otway_hub,2037,0.0,18.5
carbonnet,2038,0.0,18.5
cooper_hub,2038,0.0,18.5
otway_hub,2038,0.0,18.5
carbonnet,2039,0.0,18.5
cooper_hub,2039,0.0,18.5
otway_hub,2039,0.0,18.5
carbonnet,2040,0.0,18.5
cooper_hub,2040,0.0,18.5
otway_hub,2040,0.0,18.5
carbonnet,2041,0.0,18.5
cooper_hub,2041,0.0,18.5
otway_hub,2041,0.0,18.5
carbonnet,2042,0.0,18.5
cooper_hub,2042,0.0,18.5
otway_hub,2042,0.0,18.5
carbonnet,2043,0.0,18.5
cooper_hub,2043,0.0,18.5
otway_hub,2043,0.0,18.5
carbonnet,2044,0.0,18.5
cooper_hub,2044,0.0,18.5
otway_hub,2044,0.0,18.5
carbonnet,2045,0.0,18.5
cooper_hub,2045,0.0,18.5
otway_hub,2045,0.0,18.5
carbonnet,2046,0.0,18.5
cooper_hub,2046,0.0,18.5
otway_hub,2046,0.0,18.5
carbonnet,2047,0.0,18.5
cooper_hub,2047,0.0,18.5
otway_hub,2047,0.0,18.5
carbonnet,2048,0.0,18.5
cooper_hub,2048,0.0,18.5
otway_hub,2048,0.0,18.5
carbonnet,2049,0.0,18.5
cooper_hub,2049,0.0,18.5
otway_hub,2049,0.0,18.5
carbonnet,2050,0.0,18.5
cooper_hub,2050,0.0,18.5
otway_hub,2050,0.0,18.5
carbonnet,2051,0.0,18.5
cooper_hub,2051,0.0,18.5
otway_hub,2051,0.0,18.5
carbonnet,2052,0.0,18.5
cooper_hub,2052,0.0,18.5
otway_hub,2052,0.0,18.5
carbonnet,2053,0.0,18.5
cooper_hub,2053,0.0,18.5
otway_hub,2053,0.0,18.5
carbonnet,2054,0.0,18.5
cooper_hub,2054,0.0,18.5
otway_hub,2054,0.0,18.5
carbonnet,2055,0.0,18.5
cooper_hub,2055,0.0,18.5
otway_hub,2055,0.0,18.5
