scenario,series,financial_year_ending,value,unit
Step Change,"Generation, storage and electrolyser capital costs",2027,36386,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2028,427762,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2029,2408835,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2030,4154400,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2031,4452979,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2032,6380131,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2033,7239131,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2034,7862543,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2035,8851558,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2036,9865308,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2037,11301080,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2038,12662964,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2039,14105106,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2040,14754539,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2041,15176375,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2042,16143388,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2043,17343013,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2044,17936952,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2045,17897514,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2046,18468028,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2047,19415534,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2048,19969672,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2049,20642046,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser capital costs",2050,21178835,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2027,2835027,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2028,3110903,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2029,3571427,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2030,3940838,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2031,4096618,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2032,4458217,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2033,4734440,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2034,4802620,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2035,5067260,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2036,5279691,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2037,5538097,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2038,5742097,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2039,6034196,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2040,6221308,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2041,6238569,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2042,6383421,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2043,6547884,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2044,6603875,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2045,6500661,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2046,6481855,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2047,6539418,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2048,6565395,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2049,6576207,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser FOM costs",2050,6475276,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2027,959339,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2028,824774,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2029,592766,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2030,450413,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2031,404862,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2032,362436,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2033,388497,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2034,341100,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2035,325479,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2036,337967,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2037,353270,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2038,334314,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2039,299191,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2040,326068,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2041,316789,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2042,299881,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2043,303864,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2044,288222,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2045,310560,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2046,307669,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2047,303723,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2048,295758,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2049,353634,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser VOM costs",2050,273468,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2027,0,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2028,47141,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2029,1526905,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2030,424540,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2031,27748,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2032,401957,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2033,159,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2034,729684,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2035,453955,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2036,371801,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2037,270474,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2038,537470,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2039,133154,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2040,90892,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2041,115313,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2042,49453,$000 real Jul-2023
Step Change,"Generation, storage and electrolyser retirement costs",2043,227282,$000 real Jul-2023
