year,scenario,cost_excl_fuel_emissions_aud_per_mwh,fuel_aud_per_mwh,emissions_cost_aud_per_mwh,all_cost_aud_per_mwh,common_cost_aud_per_mwh,generation_twh,operational_demand_twh,operational_share
2027,Accelerated Transition,20.715,41.132,38.155,100.002,22.039,192.365,191.625,0.9962
2027,Slower Growth,20.548,22.631,45.569,88.748,21.913,184.081,182.942,0.9938
2027,Step Change,20.098,20.995,46.403,87.497,21.407,190.599,189.658,0.9951
2028,Accelerated Transition,25.33,33.243,32.528,91.101,26.612,198.982,196.932,0.9897
2028,Slower Growth,22.657,18.582,41.054,82.293,23.921,183.001,181.226,0.9903
2028,Step Change,23.671,16.621,40.634,80.926,24.897,193.072,191.208,0.9903
2029,Accelerated Transition,47.899,14.033,20.871,82.803,43.311,208.713,203.761,0.9763
2029,Slower Growth,37.769,13.261,29.336,80.366,31.098,173.127,169.583,0.9795
2029,Step Change,42.102,11.02,26.932,80.054,36.752,197.733,193.236,0.9773
2030,Accelerated Transition,56.391,10.813,12.882,80.086,52.446,221.445,213.657,0.9648
2030,Slower Growth,49.044,6.485,17.624,73.152,48.551,174.276,164.99,0.9467
2030,Step Change,44.438,6.69,19.705,70.834,45.658,210.467,203.237,0.9656
2031,Accelerated Transition,64.734,3.705,7.964,76.403,66.46,238.276,225.983,0.9484
2031,Slower Growth,44.457,5.144,17.85,67.451,48.566,180.677,170.097,0.9414
2031,Step Change,43.476,4.986,18.235,66.697,46.736,217.56,209.416,0.9626
2032,Accelerated Transition,70.772,2.528,5.73,79.03,75.466,249.152,236.006,0.9472
2032,Slower Growth,55.103,4.616,17.839,77.558,60.757,188.45,176.652,0.9374
2032,Step Change,55.146,4.193,15.987,75.327,57.862,227.883,218.824,0.9602
2033,Accelerated Transition,72.067,5.652,6.712,84.431,78.026,265.048,250.814,0.9463
2033,Slower Growth,56.925,4.46,18.91,80.294,63.095,192.771,182.062,0.9444
2033,Step Change,56.481,4.957,18.231,79.668,61.372,237.705,227.699,0.9579
2034,Accelerated Transition,75.473,4.131,1.906,81.51,79.651,283.271,267.44,0.9441
2034,Slower Growth,60.781,3.515,17.557,81.853,65.207,199.346,187.032,0.9382
2034,Step Change,60.557,3.811,14.833,79.201,62.809,247.73,236.642,0.9552
2035,Accelerated Transition,74.486,3.582,1.392,79.46,81.676,305.499,287.778,0.942
2035,Slower Growth,66.25,3.012,11.519,80.781,69.273,200.605,189.474,0.9445
2035,Step Change,62.212,3.102,11.091,76.404,66.272,259.031,245.975,0.9496
2036,Accelerated Transition,76.651,4.34,1.88,82.871,83.841,322.06,304.098,0.9442
2036,Slower Growth,66.023,3.596,12.754,82.373,71.618,205.148,193.82,0.9448
2036,Step Change,64.752,4.479,11.042,80.273,69.335,267.161,254.041,0.9509
2037,Accelerated Transition,81.465,4.441,2.113,88.019,89.092,339.46,320.128,0.9431
2037,Slower Growth,68.148,4.556,16.93,89.634,74.602,211.1,200.078,0.9478
2037,Step Change,68.844,5.122,11.438,85.404,74.368,275.269,261.336,0.9494
2038,Accelerated Transition,82.926,3.68,1.784,88.389,90.392,350.265,331.858,0.9474
2038,Slower Growth,70.633,4.204,17.109,91.946,76.721,215.299,205.334,0.9537
2038,Step Change,74.08,4.519,8.829,87.428,78.716,280.677,267.729,0.9539
2039,Accelerated Transition,88.338,1.772,0.624,90.735,96.447,364.247,344.109,0.9447
2039,Slower Growth,72.259,4.034,16.906,93.199,79.042,223.275,211.694,0.9481
2039,Step Change,76.003,3.021,7.777,86.801,82.969,291.412,276.097,0.9474
2040,Accelerated Transition,93.464,2.947,1.335,97.745,102.638,373.748,351.298,0.9399
2040,Slower Growth,75.328,5.134,18.333,98.795,82.439,224.536,213.386,0.9503
2040,Step Change,78.14,4.85,9.755,92.745,85.705,294.16,277.92,0.9448
2041,Accelerated Transition,93.641,3.225,1.576,98.442,102.583,387.201,364.477,0.9413
2041,Slower Growth,77.608,6.925,17.338,101.871,82.784,226.066,215.459,0.9531
2041,Step Change,78.882,5.076,10.451,94.409,86.532,297.261,280.531,0.9437
2042,Accelerated Transition,95.136,2.627,1.257,99.021,104.302,399.696,376.726,0.9425
2042,Slower Growth,76.181,6.841,18.206,101.228,83.534,233.238,221.55,0.9499
