scenario,series,financial_year_ending,value,unit
Step Change,NEM emissions,2027,102.024,Mt CO2-e
Step Change,NEM emissions,2028,85.796,Mt CO2-e
Step Change,NEM emissions,2029,54.754,Mt CO2-e
Step Change,NEM emissions,2030,39.233,Mt CO2-e
Step Change,NEM emissions,2031,34.271,Mt CO2-e
Step Change,NEM emissions,2032,28.961,Mt CO2-e
Step Change,NEM emissions,2033,31.655,Mt CO2-e
Step Change,NEM emissions,2034,24.74,Mt CO2-e
Step Change,NEM emissions,2035,17.937,Mt CO2-e
Step Change,NEM emissions,2036,17.12,Mt CO2-e
Step Change,NEM emissions,2037,17.019,Mt CO2-e
Step Change,NEM emissions,2038,12.502,Mt CO2-e
Step Change,NEM emissions,2039,10.692,Mt CO2-e
Step Change,NEM emissions,2040,12.684,Mt CO2-e
Step Change,NEM emissions,2041,12.861,Mt CO2-e
Step Change,NEM emissions,2042,11.961,Mt CO2-e
Step Change,NEM emissions,2043,10.725,Mt CO2-e
Step Change,NEM emissions,2044,9.117,Mt CO2-e
Step Change,NEM emissions,2045,9.856,Mt CO2-e
Step Change,NEM emissions,2046,9.992,Mt CO2-e
Step Change,NEM emissions,2047,8.627,Mt CO2-e
Step Change,NEM emissions,2048,6.835,Mt CO2-e
Step Change,NEM emissions,2049,9.788,Mt CO2-e
Step Change,NEM emissions,2050,3.85,Mt CO2-e
Step Change,Generation excluding rooftop and storage,2027,190599,GWh
Step Change,Generation excluding rooftop and storage,2028,193072,GWh
Step Change,Generation excluding rooftop and storage,2029,197733,GWh
Step Change,Generation excluding rooftop and storage,2030,210467,GWh
Step Change,Generation excluding rooftop and storage,2031,217560,GWh
Step Change,Generation excluding rooftop and storage,2032,227883,GWh
Step Change,Generation excluding rooftop and storage,2033,237705,GWh
Step Change,Generation excluding rooftop and storage,2034,247730,GWh
Step Change,Generation excluding rooftop and storage,2035,259031,GWh
Step Change,Generation excluding rooftop and storage,2036,267161,GWh
Step Change,Generation excluding rooftop and storage,2037,275269,GWh
Step Change,Generation excluding rooftop and storage,2038,280677,GWh
Step Change,Generation excluding rooftop and storage,2039,291412,GWh
Step Change,Generation excluding rooftop and storage,2040,294160,GWh
Step Change,Generation excluding rooftop and storage,2041,297261,GWh
Step Change,Generation excluding rooftop and storage,2042,305437,GWh
Step Change,Generation excluding rooftop and storage,2043,306384,GWh
Step Change,Generation excluding rooftop and storage,2044,313288,GWh
Step Change,Generation excluding rooftop and storage,2045,317019,GWh
Step Change,Generation excluding rooftop and storage,2046,322187,GWh
Step Change,Generation excluding rooftop and storage,2047,324032,GWh
Step Change,Generation excluding rooftop and storage,2048,328045,GWh
Step Change,Generation excluding rooftop and storage,2049,329583,GWh
Step Change,Generation excluding rooftop and storage,2050,332097,GWh
Step Change,Storage and DSP net generation,2027,-941,GWh
Step Change,Storage and DSP net generation,2028,-1864,GWh
Step Change,Storage and DSP net generation,2029,-4497,GWh
Step Change,Storage and DSP net generation,2030,-7230,GWh
Step Change,Storage and DSP net generation,2031,-8144,GWh
Step Change,Storage and DSP net generation,2032,-9059,GWh
Step Change,Storage and DSP net generation,2033,-10006,GWh
Step Change,Storage and DSP net generation,2034,-11088,GWh
Step Change,Storage and DSP net generation,2035,-13056,GWh
Step Change,Storage and DSP net generation,2036,-13120,GWh
Step Change,Storage and DSP net generation,2037,-13933,GWh
Step Change,Storage and DSP net generation,2038,-12948,GWh
Step Change,Storage and DSP net generation,2039,-15315,GWh
Step Change,Storage and DSP net generation,2040,-16240,GWh
Step Change,Storage and DSP net generation,2041,-16730,GWh
Step Change,Storage and DSP net generation,2042,-17228,GWh
Step Change,Storage and DSP net generation,2043,-15029,GWh
Step Change,Storage and DSP net generation,2044,-17081,GWh
Step Change,Storage and DSP net generation,2045,-17843,GWh
Step Change,Storage and DSP net generation,2046,-18845,GWh
Step Change,Storage and DSP net generation,2047,-17915,GWh
Step Change,Storage and DSP net generation,2048,-18609,GWh
Step Change,Storage and DSP net generation,2049,-17950,GWh
Step Change,Storage and DSP net generation,2050,-19242,GWh
Slower Growth,NEM emissions,2027,96.764,Mt CO2-e
Slower Growth,NEM emissions,2028,82.162,Mt CO2-e
Slower Growth,NEM emissions,2029,52.22,Mt CO2-e
Slower Growth,NEM emissions,2030,29.055,Mt CO2-e
Slower Growth,NEM emissions,2031,27.861,Mt CO2-e
Slower Growth,NEM emissions,2032,26.724,Mt CO2-e
