year,scenario,generation_twh,emissions_mt,t_co2e_per_mwh
2010,Accelerated Transition,209,168.722,0.80728
2010,Slower Growth,209,168.722,0.80728
2010,Step Change,209,168.722,0.80728
2011,Accelerated Transition,207,162.202,0.78358
2011,Slower Growth,207,162.202,0.78358
2011,Step Change,207,162.202,0.78358
2012,Accelerated Transition,202,159.795,0.79106
2012,Slower Growth,202,159.795,0.79106
2012,Step Change,202,159.795,0.79106
2013,Accelerated Transition,198,150.293,0.75905
2013,Slower Growth,198,150.293,0.75905
2013,Step Change,198,150.293,0.75905
2014,Accelerated Transition,194,144.796,0.74637
2014,Slower Growth,194,144.796,0.74637
2014,Step Change,194,144.796,0.74637
2015,Accelerated Transition,193,148.802,0.77099
2015,Slower Growth,193,148.802,0.77099
2015,Step Change,193,148.802,0.77099
2016,Accelerated Transition,195,150.167,0.77009
2016,Slower Growth,195,150.167,0.77009
2016,Step Change,195,150.167,0.77009
2017,Accelerated Transition,198,149.251,0.75379
2017,Slower Growth,198,149.251,0.75379
2017,Step Change,198,149.251,0.75379
2018,Accelerated Transition,196,146.161,0.74572
2018,Slower Growth,196,146.161,0.74572
2018,Step Change,196,146.161,0.74572
2019,Accelerated Transition,195,141.689,0.72661
2019,Slower Growth,195,141.689,0.72661
2019,Step Change,195,141.689,0.72661
2020,Accelerated Transition,192,134.36,0.69979
2020,Slower Growth,192,134.36,0.69979
2020,Step Change,192,134.36,0.69979
2021,Accelerated Transition,188,127.48,0.67809
2021,Slower Growth,188,127.48,0.67809
2021,Step Change,188,127.48,0.67809
2022,Accelerated Transition,188,121.068,0.64398
2022,Slower Growth,188,121.068,0.64398
2022,Step Change,188,121.068,0.64398
2023,Accelerated Transition,188,117.17,0.62324
2023,Slower Growth,188,117.17,0.62324
2023,Step Change,188,117.17,0.62324
2024,Accelerated Transition,188,116.595,0.62019
2024,Slower Growth,188,116.595,0.62019
2024,Step Change,188,116.595,0.62019
2025,Accelerated Transition,189,113.505,0.60056
2025,Slower Growth,189,113.505,0.60056
2025,Step Change,189,113.505,0.60056
2026,Accelerated Transition,191,99.315,0.51997
2026,Slower Growth,188,104.794,0.55741
2026,Step Change,191,106.284,0.55646
2027,Accelerated Transition,194,86.616,0.44647
2027,Slower Growth,185,96.082,0.51936
2027,Step Change,190,98.489,0.51836
2028,Accelerated Transition,201,72.174,0.35907
2028,Slower Growth,185,71.688,0.38751
2028,Step Change,194,75.012,0.38666
2029,Accelerated Transition,208,35.404,0.17021
2029,Slower Growth,175,48.445,0.27683
2029,Step Change,197,57.265,0.29068
2030,Accelerated Transition,221,21.214,0.09599
2030,Slower Growth,174,27.716,0.15929
2030,Step Change,209,41.116,0.19673
2031,Accelerated Transition,232,17.208,0.07417
2031,Slower Growth,179,26.8,0.14972
2031,Step Change,215,37.452,0.17419
2032,Accelerated Transition,242,13.652,0.05641
2032,Slower Growth,187,24.393,0.13044
2032,Step Change,224,31.722,0.14162
2033,Accelerated Transition,263,14.227,0.05409
2033,Slower Growth,189,27.716,0.14665
2033,Step Change,236,34.704,0.14705
2034,Accelerated Transition,280,5.173,0.01848
2034,Slower Growth,194,24.393,0.12574
2034,Step Change,246,27.375,0.11128
2035,Accelerated Transition,302,5.748,0.01903
2035,Slower Growth,197,18.897,0.09592
2035,Step Change,254,16.382,0.0645
2036,Accelerated Transition,318,6.323,0.01988
2036,Slower Growth,201,20.388,0.10143
2036,Step Change,261,20.28,0.0777
2037,Accelerated Transition,335,5.748,0.01716
2037,Slower Growth,206,20.621,0.1001
2037,Step Change,270,21.088,0.0781
2038,Accelerated Transition,347,5.173,0.01491
2038,Slower Growth,210,18.214,0.08673
2038,Step Change,276,16.274,0.05896
2039,Accelerated Transition,363,1.724,0.00475
2039,Slower Growth,217,20.046,0.09238
2039,Step Change,289,10.885,0.03767
2040,Accelerated Transition,375,2.874,0.00766
2040,Slower Growth,220,22.687,0.10312
2040,Step Change,291,12.035,0.04136
2041,Accelerated Transition,390,2.874,0.00737
2041,Slower Growth,222,18.915,0.0852
2041,Step Change,297,11.352,0.03822
2042,Accelerated Transition,402,2.874,0.00715
2042,Slower Growth,230,18.34,0.07974
2042,Step Change,304,10.778,0.03545
2043,Accelerated Transition,407,2.299,0.00565
2043,Slower Growth,230,15.592,0.06779
2043,Step Change,306,8.371,0.02735
2044,Accelerated Transition,419,1.724,0.00412
2044,Slower Growth,237,16.166,0.06821
2044,Step Change,313,7.796,0.02491
2045,Accelerated Transition,431,2.874,0.00667
2045,Slower Growth,243,15.484,0.06372
2045,Step Change,317,8.604,0.02714
2046,Accelerated Transition,444,3.449,0.00777
2046,Slower Growth,249,15.717,0.06312
2046,Step Change,321,8.263,0.02574
2047,Accelerated Transition,452,5.173,0.01145
2047,Slower Growth,254,14.801,0.05827
2047,Step Change,323,7.347,0.02275
2048,Accelerated Transition,464,2.874,0.00619
2048,Slower Growth,258,13.077,0.05069
2048,Step Change,325,6.197,0.01907
2049,Accelerated Transition,480,5.173,0.01078
2049,Slower Growth,263,16.526,0.06284
2049,Step Change,326,9.071,0.02783
2050,Accelerated Transition,491,4.024,0.00819
2050,Slower Growth,268,8.047,0.03003
2050,Step Change,332,4.599,0.01385
