year,scenario,emissions_mt,generation_twh,operational_demand_twh,t_co2e_per_mwh
2027,Accelerated Transition,84.666,192.365,191.625,0.44183
2027,Slower Growth,96.764,184.081,182.942,0.52893
2027,Step Change,102.024,190.599,189.658,0.53794
2028,Accelerated Transition,70.785,198.982,196.932,0.35944
2028,Slower Growth,82.162,183.001,181.226,0.45337
2028,Step Change,85.796,193.072,191.208,0.44871
2029,Accelerated Transition,44.788,208.713,203.761,0.21981
2029,Slower Growth,52.22,173.127,169.583,0.30793
2029,Step Change,54.754,197.733,193.236,0.28335
2030,Accelerated Transition,26.986,221.445,213.657,0.12631
2030,Slower Growth,29.055,174.276,164.99,0.1761
2030,Step Change,39.233,210.467,203.237,0.19304
2031,Accelerated Transition,16.392,238.276,225.983,0.07254
2031,Slower Growth,27.861,180.677,170.097,0.16379
2031,Step Change,34.271,217.56,209.416,0.16365
2032,Accelerated Transition,11.348,249.152,236.006,0.04808
2032,Slower Growth,26.724,188.45,176.652,0.15128
2032,Step Change,28.961,227.883,218.824,0.13235
2033,Accelerated Transition,12.995,265.048,250.814,0.05181
2033,Slower Growth,26.627,192.771,182.062,0.14625
2033,Step Change,31.655,237.705,227.699,0.13902
2034,Accelerated Transition,3.634,283.271,267.44,0.01359
2034,Slower Growth,23.564,199.346,187.032,0.12599
2034,Step Change,24.74,247.73,236.642,0.10455
2035,Accelerated Transition,2.654,305.499,287.778,0.00922
2035,Slower Growth,14.428,200.605,189.474,0.07615
2035,Step Change,17.937,259.031,245.975,0.07292
2036,Accelerated Transition,3.514,322.06,304.098,0.01156
2036,Slower Growth,15.184,205.148,193.82,0.07834
2036,Step Change,17.12,267.161,254.041,0.06739
2037,Accelerated Transition,3.877,339.46,320.128,0.01211
2037,Slower Growth,19.318,211.1,200.078,0.09655
2037,Step Change,17.019,275.269,261.336,0.06512
2038,Accelerated Transition,3.153,350.265,331.858,0.0095
2038,Slower Growth,18.584,215.299,205.334,0.09051
2038,Step Change,12.502,280.677,267.729,0.0467
2039,Accelerated Transition,1.073,364.247,344.109,0.00312
2039,Slower Growth,17.808,223.275,211.694,0.08412
2039,Step Change,10.692,291.412,276.097,0.03873
2040,Accelerated Transition,2.205,373.748,351.298,0.00628
2040,Slower Growth,18.196,224.536,213.386,0.08527
2040,Step Change,12.684,294.16,277.92,0.04564
2041,Accelerated Transition,2.526,387.201,364.477,0.00693
2041,Slower Growth,16.226,226.066,215.459,0.07531
2041,Step Change,12.861,297.261,280.531,0.04585
2042,Accelerated Transition,1.948,399.696,376.726,0.00517
2042,Slower Growth,16.462,233.238,221.55,0.0743
2042,Step Change,11.961,305.437,288.209,0.0415
2043,Accelerated Transition,2.6,403.97,383.738,0.00678
2043,Slower Growth,15.249,234.853,225.152,0.06773
2043,Step Change,10.725,306.384,291.355,0.03681
2044,Accelerated Transition,0.392,418.849,395.601,0.00099
2044,Slower Growth,14.954,241.054,230.818,0.06479
2044,Step Change,9.117,313.288,296.207,0.03078
2045,Accelerated Transition,1.201,431.804,405.893,0.00296
2045,Slower Growth,15.185,247.7,236.175,0.0643
2045,Step Change,9.856,317.019,299.176,0.03294
2046,Accelerated Transition,0.759,445.622,418.981,0.00181
2046,Slower Growth,15.154,253.401,241.404,0.06277
2046,Step Change,9.992,322.187,303.342,0.03294
2047,Accelerated Transition,1.881,453.589,428.148,0.00439
2047,Slower Growth,12.769,256.768,245.448,0.05202
2047,Step Change,8.627,324.032,306.117,0.02818
2048,Accelerated Transition,0.556,465.421,440.954,0.00126
2048,Slower Growth,11.942,262.361,250.7,0.04763
2048,Step Change,6.835,328.045,309.436,0.02209
2049,Accelerated Transition,2.12,481.553,455.171,0.00466
2049,Slower Growth,14.764,267.551,256.643,0.05753
2049,Step Change,9.788,329.583,311.633,0.03141
2050,Accelerated Transition,0.948,492.526,465.857,0.00203
2050,Slower Growth,6.456,273.581,261.218,0.02471
2050,Step Change,3.85,332.097,312.855,0.01231
