year,planned_twh,planned_renewable_fraction,fuel_allowance_aud_per_mwh,planned_cost_aud_per_mwh,planned_t_co2e_per_mwh,planned_pj_per_twh,residual_t_co2e_per_mwh,planned_share_ladder_cost_aud_per_mwh,scale_premium_aud_per_mwh,growth_charge_aud_per_mwh,extra_mwh_price_aud_per_mwh,futures_min_twh,futures_max_twh,ladder_point,ladder_renewable_fraction,ladder_cost_aud_per_mwh,ladder_t_co2e_per_mwh,common_fuel_allowance_aud_per_mwh,common_planned_cost_aud_per_mwh,common_planned_share_ladder_cost_aud_per_mwh,common_scale_premium_aud_per_mwh,common_growth_charge_aud_per_mwh,common_extra_mwh_price_aud_per_mwh,common_ladder_cost_aud_per_mwh,common_planned_twh,common_futures_min_twh,common_futures_max_twh
2026,193.911,0.39475,22.46418,61.56269,0.65991,6.98797,1.0903,100.59895,1.5789,2.15545,126.79747,190.911,197.911,assumed_clean_at_residual_anchor,0.35709,99.87602,0.70097,18.25757,50.03456,81.76096,1.28324,1.75182,103.05359,81.17341,187.53323,184.6319,191.40167
2026,193.911,0.39475,22.46418,61.56269,0.65991,6.98797,1.0903,100.59895,1.5789,2.15545,126.79747,190.911,197.911,clean_to_668379,0.66838,105.85132,0.36157,18.25757,50.03456,81.76096,1.28324,1.75182,103.05359,86.02978,187.53323,184.6319,191.40167
2026,193.911,0.39475,22.46418,61.56269,0.65991,6.98797,1.0903,100.59895,1.5789,2.15545,126.79747,190.911,197.911,clean_to_768379,0.76838,107.77083,0.25254,18.25757,50.03456,81.76096,1.28324,1.75182,103.05359,87.58985,187.53323,184.6319,191.40167
2026,193.911,0.39475,22.46418,61.56269,0.65991,6.98797,1.0903,100.59895,1.5789,2.15545,126.79747,190.911,197.911,clean_to_868379,0.86838,111.4767,0.14351,18.25757,50.03456,81.76096,1.28324,1.75182,103.05359,90.60176,187.53323,184.6319,191.40167
2026,193.911,0.39475,22.46418,61.56269,0.65991,6.98797,1.0903,100.59895,1.5789,2.15545,126.79747,190.911,197.911,clean_to_968379,0.96838,117.84681,0.03448,18.25757,50.03456,81.76096,1.28324,1.75182,103.05359,95.77901,187.53323,184.6319,191.40167
2026,193.911,0.39475,22.46418,61.56269,0.65991,6.98797,1.0903,100.59895,1.5789,2.15545,126.79747,190.911,197.911,nominal_99,0.99,119.22411,0.0109,18.25757,50.03456,81.76096,1.28324,1.75182,103.05359,96.89841,187.53323,184.6319,191.40167
2030,213.911,0.79394,5.84674,87.85375,0.18762,2.17277,0.91051,95.89406,7.89449,39.60322,149.2385,178.911,223.911,assumed_clean_at_360676,0.36068,88.6846,0.58211,4.89706,73.58381,80.31815,6.6122,33.17054,124.99795,74.27971,200.74255,167.89716,210.12694
2030,213.911,0.79394,5.84674,87.85375,0.18762,2.17277,0.91051,95.89406,7.89449,39.60322,149.2385,178.911,223.911,clean_to_668379,0.66838,93.55337,0.30195,4.89706,73.58381,80.31815,6.6122,33.17054,124.99795,78.35766,200.74255,167.89716,210.12694
2030,213.911,0.79394,5.84674,87.85375,0.18762,2.17277,0.91051,95.89406,7.89449,39.60322,149.2385,178.911,223.911,clean_to_768379,0.76838,95.13567,0.21089,4.89706,73.58381,80.31815,6.6122,33.17054,124.99795,79.68294,200.74255,167.89716,210.12694
2030,213.911,0.79394,5.84674,87.85375,0.18762,2.17277,0.91051,95.89406,7.89449,39.60322,149.2385,178.911,223.911,clean_to_868379,0.86838,98.10247,0.11984,4.89706,73.58381,80.31815,6.6122,33.17054,124.99795,82.16786,200.74255,167.89716,210.12694
